5.1	DESPESAS COM PRODUTOS		5.2	DESPESAS COM SERVIÇOS		5.3	DESPESAS NÃO OPERACIONAIS		5.4	DESPESAS COM RH		5.5	DESPESAS OPERACIONAIS		5.6	DESPESAS DE MARKETING		5.7	IMPOSTOS		5.8	INVESTIMENTOS
5.1.1	MATERIAL DE EMBALAGEM		5.2.1	AJUDA DE CUSTO		5.3.1	MULTAS POR INFRAÇÃO DE TRANSITO		5.4.15	CESTA BASICA		5.5.1	COMBUSTIVEIS E LUBRIFICANTES		5.6.1	PATOCINIOS		5.7.1	ICMS ST S/VENDAS		5.8.1	CDB
5.1.2	FRETES E CARRETOS		5.2.10	FÉRIAS		5.3.2	MULTAS POR INFRAÇÃO FISCAL		5.4.16	ASSISTENCIA MÉDICA		5.5.10	DESP C/CONDOMINIO		9999	-		5.7.2	ICMS DIF ALIQUOTA		9999	-
5.1.3	INDUSTR A MERCADORIAS		5.2.11	HORAS EXTRAS		5.3.3	MULTAS TRABALHISTAS		5.4.17	AVISO PREVIO		5.5.11	ALUGUEIS		9999	-		5.7.3	ICMS RECOMP ALIQUOTA		9999	-
5.1.4	CUSTO MECAD DA		5.2.12	ADIC INSALUBRIDADE		5.3.4	PERDAS MERC.DANIFIC/ROUBADAS		5.4.18	DSR		5.5.12	DESP C/VIAGENS		9999	-		5.7.4	IPTU		9999	-
9999	-		5.2.13	ADIC PERICULOSIDADE		5.3.5	DESP SOCIOS E ADMINISTRADORES		5.4.19	HORAS EXTRAS		5.5.13	DESP LEGAIS E JURIDICAS		9999	-		5.7.5	IPVA/LICENC E SEG OBRIG		9999	-
9999	-		5.2.14	PRODUTIVIDADE		9999	-		5.4.20	ADIC INSALUBRIDADE		5.5.14	DESP C/CORREIOS 		9999	-		5.7.6	IRRF		9999	-
9999	-		5.2.15	RESCISÃO CONTRATUAL		9999	-		5.4.21	ADIC PERICULOSIDADE		5.5.15	DESP DIVERSAS		9999	-		5.7.7	RETENÇÕES LEI 10.833		9999	-
9999	-		5.2.2	ALIMENTAÇÃO		9999	-		5.4.22	PCMSO/PPRA/LTCAT		5.5.2	CONSELHOS REGIONAIS		9999	-		9999	-		9999	-
9999	-		5.2.3	ASSISTENCIA MEDICA		9999	-		5.4.23	RESCISÃO DE CONTRATO		5.5.3	CONSERVAÇÃO E REPAROS		9999	-		9999	-		9999	-
9999	-		5.2.4	FGTS		9999	-		5.4.24	UNIFORMES E EQU.DE SEGURANÇA		5.5.4	CONTRIBUIÇÕES E DOAÇÕES		9999	-		9999	-		9999	-
9999	-		5.2.5	INSS		9999	-		5.4.25	FÉRIAS		5.5.5	CURSOS E TREINAMENTOS		9999	-		9999	-		9999	-
9999	-		5.2.6	VALE TRANSPORTE		9999	-		5.4.26	CONTRIB SINDICAL		5.5.6	DEPRECIAÇÕES/AMORTIZAÇÕES		9999	-		9999	-		9999	-
9999	-		5.2.7	UNIFORMES E EQUIP SEGURANÇA		9999	-		5.4.27	CONTRIB CONFEDERATIVA		5.5.7	TELEFONE/ INTERNET		9999	-		9999	-		9999	-
9999	-		5.2.8	ORDENADOS E SALÁRIOS		9999	-		5.4.28	PARTIC. NOS LUCROS		5.5.8	DESP C/XEROX		9999	-		9999	-		9999	-
9999	-		5.2.9	DSR		9999	-		5.4.29	PRODUTIVIDADE		5.5.9	DESP C/VEICULOS		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-		9999	-
